
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
521,36-10,36,10,46,26,6,2009-11
522,36-13,36,13,49,23,3,1994-08
523,36-14,36,14,50,22,12,2012-09
524,36-15,36,15,51,21,1,2002-15
525,36-16,36,16,52,20,1,2014-01
526,36-17,36,17,53,19,4,2012-07
527,36-18,36,18,54,18,1,2010-09
528,36-19,36,19,55,17,1,1988-06
529,36-20,36,20,56,16,7,1992-17
530,36-21,36,21,57,15,4,2015-04
531,36-22,36,22,58,14,6,2012-14
532,36-24,36,24,60,12,2,1990-01
533,36-25,36,25,61,11,1,2011-05
534,36-26,36,26,62,10,1,2010-05
535,36-27,36,27,63,9,1,1996-03
536,36-28,36,28,64,8,9,2000-01
537,36-30,36,30,66,6,6,2009-15
538,36-31,36,31,67,5,3,2013-01
539,36-32,36,32,68,4,1,2011-17
540,36-33,36,33,69,3,4,2010-11
541,36-34,36,34,70,2,2,1973-02
542,36-35,36,35,71,1,3,2005-09
543,37-0,37,0,37,37,17,2014-08
544,37-2,37,2,39,35,1,1972-03
545,37-3,37,3,40,34,11,2015-12
546,37-6,37,6,43,31,10,2012-04
547,37-7,37,7,44,30,30,2011-03
548,37-8,37,8,45,29,2,2005-02
549,37-9,37,9,46,28,2,2011-10
550,37-10,37,10,47,27,22,2011-13
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
551,37-12,37,12,49,25,1,2005-03
552,37-13,37,13,50,24,22,2015-09
553,37-14,37,14,51,23,33,2013-13
554,37-15,37,15,52,22,2,1998-08
555,37-16,37,16,53,21,9,2011-09
556,37-17,37,17,54,20,10,2009-04
557,37-19,37,19,56,18,2,2014-03
558,37-20,37,20,57,17,17,2012-04
559,37-21,37,21,58,16,26,2013-03
560,37-22,37,22,59,15,5,2014-06
561,37-23,37,23,60,14,3,2015-04
562,37-24,37,24,61,13,16,2014-16
563,37-25,37,25,62,12,2,2010-07
564,37-26,37,26,63,11,4,2007-11
565,37-27,37,27,64,10,10,2014-15
566,37-28,37,28,65,9,7,2014-15
567,37-29,37,29,66,8,4,2015-08
568,37-30,37,30,67,7,4,1998-04
569,37-31,37,31,68,6,24,2014-05
570,37-32,37,32,69,5,1,2008-08
571,37-33,37,33,70,4,4,2015-02
572,37-34,37,34,71,3,28,2015-06
573,37-35,37,35,72,2,10,2014-15
574,37-36,37,36,73,1,2,2013-14
575,37-37,37,37,74,0,1,2014-06
576,38-0,38,0,38,38,22,2015-13
577,38-3,38,3,41,35,14,2014-11
578,38-5,38,5,43,33,1,2003-08
579,38-6,38,6,44,32,7,2005-02
580,38-7,38,7,45,31,42,2015-12
581,38-8,38,8,46,30,2,2015-15
582,38-9,38,9,47,29,8,2004-11
583,38-10,38,10,48,28,42,2015-16
584,38-12,38,12,50,26,1,1987-04
585,38-13,38,13,51,25,17,2013-06
586,38-14,38,14,52,24,53,2014-04
587,38-15,38,15,53,23,5,2010-15
588,38-16,38,16,54,22,6,1998-16
589,38-17,38,17,55,21,43,2015-14
590,38-19,38,19,57,19,4,2011-12
591,38-20,38,20,58,18,27,2015-11
592,38-21,38,21,59,17,38,2012-14
593,38-22,38,22,60,16,2,2000-02
594,38-23,38,23,61,15,13,2012-09
595,38-24,38,24,62,14,43,2015-15
596,38-25,38,25,63,13,1,2007-16
597,38-26,38,26,64,12,3,2012-06
598,38-27,38,27,65,11,13,2015-15
599,38-28,38,28,66,10,30,2015-03
600,38-29,38,29,67,9,1,1967-13
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
601,38-30,38,30,68,8,5,2010-03
602,38-31,38,31,69,7,30,2015-05
603,38-32,38,32,70,6,2,2001-14
604,38-33,38,33,71,5,4,2012-12
605,38-34,38,34,72,4,11,2010-15
606,38-35,38,35,73,3,20,2015-14
607,38-36,38,36,74,2,6,2007-06
608,38-37,38,37,75,1,3,2009-10
609,38-38,38,38,76,0,1,1960-11
610,39-0,39,0,39,39,5,1936-01
611,39-3,39,3,42,36,2,1990-06
612,39-7,39,7,46,32,3,1989-04
613,39-10,39,10,49,29,3,2011-06
614,39-13,39,13,52,26,1,1996-02
615,39-14,39,14,53,25,3,2006-18
616,39-17,39,17,56,22,3,2015-05
617,39-20,39,20,59,19,1,1986-19
618,39-21,39,21,60,18,1,1988-08
619,39-23,39,23,62,16,1,2010-14
620,39-24,39,24,63,15,1,1979-14
621,39-26,39,26,65,13,3,2010-09
622,39-27,39,27,66,12,1,2001-12
623,39-28,39,28,67,11,2,2015-03
624,39-30,39,30,69,9,1,2015-11
625,39-31,39,31,70,8,3,2006-16
626,39-32,39,32,71,7,3,2015-09
627,39-33,39,33,72,6,1,2013-07
628,39-34,39,34,73,5,1,1991-06
629,39-35,39,35,74,4,2,1994-01
630,39-36,39,36,75,3,2,2014-11
